Street #,Street Name,Street Type,Parcel #,Record #,Record Type,Status,Filed Date,Status Date,Description,Related Records,Balance,Created By
1525,LAKESIDE,DR,008 063000900,SS130056,Soft Story,TBD,12/19/13,,Exempted - ENGINEERING DETERMINATION,,0,
2518,35TH,AVE,032 210103200,SS130053,Soft Story,Withdraw,7/10/13,7/10/13,"Level 1 screening for 2 story, 7 unit bldg w/ parking below",,0,
2518,35TH,AVE,032 210103200,SS130054,Soft Story,TBD,7/10/13,,"Level 1 screening for 2-story, 7 unit building with parking below",,0,
7036,MACARTHUR,BLVD,040A341603501,SS130055,Soft Story,TBD,7/10/13,,"Level 2 screening for 3-story, 16 unit bldg w/ parking below",,0,
5916,OCEAN VIEW,DR,048A711002702,SS130052,Soft Story,Expired,5/7/13,12/3/13,Level 1 screening required,,0,
237,29TH,ST,010 080102100,SS130051,Soft Story,Expired,5/6/13,12/3/13,Level 1 screening required,,0,
4135,PARK,BLVD,024 053501000,SS120081,Soft Story,Expired,11/19/12,10/7/13,EXEMPTION - STRUCTURAL RETROFIT UNDER PERMIT B1102422,,0,
3721,FRUITVALE,AVE,029A130204900,SS120080,Soft Story,Expired,11/1/12,5/17/13,LEVEL ONE SCREENING REQUIRED - UNITS A THRU F CONDOMINIUM COMPLEX,,0,
870,31ST,ST,009 071302000,SS120079,Soft Story,Expired,10/24/12,5/17/13,"Level 1 soft story screening for a 2 story, 7 unit apt.bldg w/parking below front unit.",,0,
3600,DIMOND,AVE,029A130203501,SS120078,Soft Story,Expired,10/19/12,5/17/13,EXEMPTED - PODIUM DESIGN WITH MASONRY WALLS,,0,
381,OAKLAND,AVE,010 079300600,SS120077,Soft Story,Expired,9/29/12,5/17/13,Level 1 screening with ground floor arage,,78.6,
465,BELLEVUE,AVE,010 076500404,SS120073,Soft Story,Expired,9/9/12,4/30/13,exempted - no ground floor parking/commercial,,0,
362,EUCLID,AVE,010 078503601,SS120072,Soft Story,Expired,9/9/12,4/30/13,exempted - basement garage only,,0,
245,LEE,ST,010 076902801,SS120071,Soft Story,Expired,9/9/12,4/30/13,exempted - podium design with masonry walls,,0,
1021,MCKINLEY,AVE,023 040400101,SS120070,Soft Story,Expired,9/9/12,4/30/13,exempted - basement garage only,,0,
595,MERRITT,AVE,023 041802700,SS120076,Soft Story,Expired,9/9/12,4/30/13,exemption - basement garage only,,0,
